,Time / Date,Active Time/Date,Area,Description,Device
2420,2023-09-02 오후 10:24,2023-09-02 오후 10:24,UL01,"102115 Encoder Position Not Updating | X 1, Aisle 1  ",                    
2428,2023-09-02 오후 10:24,2023-09-02 오후 10:24,UL01,"102115 Encoder Position Not Updating | X 1, Aisle 1  ",                    
2947,2023-09-02 오후 8:53,2023-09-02 오후 8:53,UL01,"102115 Encoder Position Not Updating | X 1, Aisle 1  ",                    
3030,2023-09-02 오후 8:42,2023-09-02 오후 8:42,UL01,"102115 Encoder Position Not Updating | X 1, Aisle 1  ",                    
3126,2023-09-02 오후 8:31,2023-09-02 오후 8:30,UL01,"102115 Encoder Position Not Updating | X 1, Aisle 1  ",                    
3240,2023-09-02 오후 8:15,2023-09-02 오후 8:14,UL01,"102117 Maximum drive time exceeded | X 1, Aisle 1  ",                    
3308,2023-09-02 오후 8:04,2023-09-02 오후 8:04,UL01,"102115 Encoder Position Not Updating | X 1, Aisle 1  ",                    
5350,2023-09-02 오후 3:40,2023-09-02 오후 3:40,UL01,"121119 LHD Fork Overhanging While SRM Commanded to Move | LHD 1, Aisle 1  ",                    
6896,2023-09-02 오전 10:20,2023-09-02 오전 10:20,UL01,201112 Y axis not in range of bin | Aisle 1  ,                    
6901,2023-09-02 오전 10:20,2023-09-02 오전 10:20,UL01,201112 Y axis not in range of bin | Aisle 1  ,                    
7329,2023-09-02 오전 7:23,2023-09-02 오전 7:23,UL01, ,                    
