,Time / Date,Area,Description,Device
0,2023-11-10 오후 11:33,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
1,2023-11-10 오후 11:33,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
5,2023-11-10 오후 11:21,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
6,2023-11-10 오후 11:15,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
7,2023-11-10 오후 11:14,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
8,2023-11-10 오후 11:13,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
9,2023-11-10 오후 11:12,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
14,2023-11-10 오후 10:49,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
15,2023-11-10 오후 10:42,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
16,2023-11-10 오후 10:41,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
17,2023-11-10 오후 10:35,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
18,2023-11-10 오후 10:29,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
20,2023-11-10 오후 10:25,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
23,2023-11-10 오후 10:23,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
24,2023-11-10 오후 10:23,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
25,2023-11-10 오후 10:15,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
28,2023-11-10 오후 9:50,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
29,2023-11-10 오후 9:45,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
30,2023-11-10 오후 9:45,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
32,2023-11-10 오후 9:35,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
34,2023-11-10 오후 9:32,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
36,2023-11-10 오후 9:26,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
43,2023-11-10 오후 9:13,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
44,2023-11-10 오후 9:09,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
54,2023-11-10 오후 8:29,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
58,2023-11-10 오후 8:04,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
61,2023-11-10 오후 7:54,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
63,2023-11-10 오후 7:52,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
66,2023-11-10 오후 7:47,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
72,2023-11-10 오후 6:30,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
